 (88.074219+0.000000j), (-63.931336+0.219885j), (-40.936959-8.747681j), (47.932932-0.398922j), (-1.504166-11.071092j), (-7.410393+4.893614j), (-40.936959+8.747681j), (15.364901-4.554502j), (-11.294292+22.306659j), (8.473369+0.473195j), (-26.785043-11.457479j), (47.932932+0.398922j), (15.941640-4.411798j), (-63.931336-0.219885j), (3.081145+5.967349j), (15.364901+4.554502j)
 (82.527344+0.000000j), (-42.385068+3.640666j), (-48.303775-4.949153j), (12.843286+6.079106j), (8.569323+1.327748j), (-5.473185-24.174935j), (-48.303775+4.949153j), (27.899386+12.177071j), (-14.502219+10.204584j), (14.854766+10.089473j), (21.361903-25.778077j), (12.843286-6.079106j), (-14.525616+27.133494j), (-42.385068-3.640666j), (1.067002+4.528289j), (27.899386-12.177071j)
 (104.406250+0.000000j), (-58.785900-0.125887j), (-46.573703+6.517424j), (67.832096+6.478770j), (-5.646292+21.926216j), (5.752554+4.274535j), (-46.573703-6.517424j), (2.093475+17.289250j), (1.588706-23.606591j), (0.573317+1.935420j), (-24.065403+2.331804j), (67.832096-6.478770j), (-2.370053-1.070963j), (-58.785900+0.125887j), (12.264474-7.241543j), (2.093475-17.289250j)
 (105.390625+0.000000j), (-62.795758-6.053337j), (-57.337307+7.490711j), (18.247867-10.552021j), (12.149614+30.746317j), (4.095759-11.010075j), (-57.337307-7.490711j), (30.968638+1.618345j), (-12.083235+35.089004j), (0.093534-41.579329j), (31.611448-9.659289j), (18.247867+10.552021j), (-3.543755-8.986716j), (-62.795758+6.053337j), (13.172275-0.443546j), (30.968638-1.618345j)
 (183.515625+0.000000j), (-128.206790+8.400474j), (-51.650444-2.243653j), (21.188202-13.568751j), (-74.052870+23.418586j), (44.756222-3.433920j), (-51.650444+2.243653j), (53.039063-24.317456j), (17.659051+23.976839j), (43.370190-24.741913j), (-20.323498-16.311777j), (21.188202+13.568751j), (35.151523+2.807433j), (-128.206790-8.400474j), (-8.168866-18.713032j), (53.039063+24.317456j)
 (68.703125+0.000000j), (-53.771347+5.679565j), (-17.538289-9.666615j), (37.351882-6.310650j), (-24.514989-10.113971j), (16.162562+4.886115j), (-17.538289+9.666615j), (-3.301474-14.603653j), (0.092586+15.111309j), (16.979596+3.993628j), (-39.216504-20.558623j), (37.351882+6.310650j), (22.117850+4.945921j), (-53.771347-5.679565j), (9.492207-8.764115j), (-3.301474+14.603653j)
 (126.582031+0.000000j), (-93.199904+10.417537j), (-39.610813-20.268863j), (8.591128-11.325688j), (-40.400194-31.970240j), (24.528373+37.649590j), (-39.610813+20.268863j), (51.959737-10.136961j), (4.642012+2.503331j), (20.700218+4.726517j), (1.745882-43.224500j), (8.591128+11.325688j), (38.606516+37.800238j), (-93.199904-10.417537j), (-25.880925+6.747449j), (51.959737+10.136961j)
 (103.062500+0.000000j), (-58.002617+3.064170j), (-40.963718-17.355367j), (-5.461520-8.385841j), (-9.710526-54.731039j), (-8.978868+30.165144j), (-40.963718+17.355367j), (28.839850-1.089996j), (-19.806320-5.950745j), (30.185228+26.505090j), (34.024486-39.342762j), (-5.461520+8.385841j), (-2.120686+20.222439j), (-58.002617-3.064170j), (15.839896+7.884524j), (28.839850+1.089996j)
 (87.656250+0.000000j), (-69.738461+6.253379j), (-31.088985-7.678623j), (34.751648-4.166664j), (-21.154751-5.696344j), (15.339396+2.616001j), (-31.088985+7.678623j), (15.573534-3.721993j), (-1.441054+12.511213j), (13.925994-0.712254j), (-21.777541-19.038524j), (34.751648+4.166664j), (31.005325+3.737308j), (-69.738461-6.253379j), (-2.967355+9.333631j), (15.573534+3.721993j)
 (100.875000+0.000000j), (-69.358581-9.947446j), (-62.891105+9.079262j), (29.350222-10.267355j), (16.271575+16.756268j), (-6.932265-7.177398j), (-62.891105-9.079262j), (49.518464+9.549383j), (-9.425416+13.671031j), (-3.842269-21.751132j), (14.876211-8.890010j), (29.350222+10.267355j), (8.090196-16.196006j), (-69.358581+9.947446j), (-7.019351+12.262163j), (49.518464-9.549383j)
 (128.621094+0.000000j), (-96.814642+11.245161j), (-47.305576+4.877424j), (34.164725+9.263606j), (-23.350449+21.467702j), (18.655390-23.709068j), (-47.305576-4.877424j), (36.422296-4.361039j), (12.041923-9.686326j), (5.810818-2.053969j), (-11.777038+25.873252j), (34.164725-9.263606j), (32.195071+9.608888j), (-96.814642-11.245161j), (-7.821364-21.528123j), (36.422296+4.361039j)
 (118.167969+0.000000j), (-86.273445+1.438058j), (-48.142155-6.910948j), (52.698750+8.053116j), (-26.120311-21.960956j), (19.261046-1.188046j), (-48.142155+6.910948j), (23.741751+17.635394j), (15.991959-16.828832j), (8.603723+36.151810j), (-22.059438-2.447924j), (52.698750-8.053116j), (29.065304-8.103980j), (-86.273445-1.438058j), (-7.101151+28.565246j), (23.741751-17.635394j)
 (128.527344+0.000000j), (-92.685130-8.262900j), (-50.796835-2.198417j), (27.663878+7.822213j), (-29.313827-1.057818j), (33.149215+2.721779j), (-50.796835+2.198417j), (27.303282+0.145686j), (-36.882100+2.669550j), (32.635199+0.555179j), (20.137190+6.276710j), (27.663878-7.822213j), (17.214412-4.012139j), (-92.685130+8.262900j), (17.682922-7.283934j), (27.303282-0.145686j)
 (107.332031+0.000000j), (-56.657880-8.422108j), (-59.375382+3.089818j), (31.179766+9.933428j), (-9.840441+26.695902j), (2.574019-2.452159j), (-59.375382-3.089818j), (36.514431-9.799987j), (25.815669+17.987575j), (-11.557385-22.088099j), (-13.446067+2.876011j), (31.179766-9.933428j), (-2.022391-8.269479j), (-56.657880+8.422108j), (17.088782-12.871202j), (36.514431+9.799987j)
 (109.667969+0.000000j), (-44.038535+10.210518j), (-47.401829-5.096567j), (-9.548668-6.152671j), (-18.608701+2.330405j), (30.244002-14.408065j), (-47.401829+5.096567j), (23.213093+6.255993j), (-9.978225+11.486722j), (22.923444-17.386804j), (38.419785-13.041212j), (-9.548668+6.152671j), (-31.448673+26.971025j), (-44.038535-10.210518j), (19.795619-1.953539j), (23.213093-6.255993j)
 (141.070312+0.000000j), (-84.057787+0.034366j), (-29.103509-7.392569j), (-3.030897-15.012855j), (-57.261174-2.914115j), (25.899788+28.910565j), (-29.103509+7.392569j), (40.628949-18.873695j), (15.358460-23.139634j), (22.960482-9.895432j), (-2.856173-6.924112j), (-3.030897+15.012855j), (7.302276+27.373847j), (-84.057787-0.034366j), (-0.501584-34.494119j), (40.628949+18.873695j)
 (57.445312+0.000000j), (-39.201829-2.340342j), (-2.571092+8.855935j), (-0.298387-6.139141j), (-28.801465+8.132263j), (21.286364-6.791256j), (-2.571092-8.855935j), (8.792424-1.539054j), (12.198457+0.735165j), (7.092687-1.614652j), (-16.341179+0.037487j), (-0.298387+6.139141j), (14.350262-7.661987j), (-39.201829+2.340342j), (2.663024-5.902645j), (8.792424+1.539054j)
 (94.667969+0.000000j), (-72.151706-2.487007j), (-36.528588-11.389701j), (38.577336-8.744997j), (-17.761336-32.583263j), (9.884866+22.975028j), (-36.528588+11.389701j), (15.785003-15.509779j), (-22.437907+27.536171j), (21.782932+10.871201j), (-22.499363-27.891622j), (38.577336+8.744997j), (25.462800-5.313539j), (-72.151706+2.487007j), (4.234704-7.443666j), (15.785003+15.509779j)
 (108.503906+0.000000j), (-82.165253-6.278365j), (-50.448169+14.690367j), (14.852789-8.143418j), (-2.188484+38.795660j), (-4.063850-29.605213j), (-50.448169-14.690367j), (50.109412+12.562017j), (-24.628651+19.656702j), (19.051392-32.622104j), (24.070687+2.971892j), (14.852789+8.143418j), (27.325053-13.914209j), (-82.165253+6.278365j), (-18.132372+8.647920j), (50.109412-12.562017j)
 (134.296875+0.000000j), (-81.192422+10.716853j), (-36.872241+8.311527j), (27.169394+0.641348j), (-40.829082+3.536474j), (23.205886+20.722632j), (-36.872241-8.311527j), (8.911707-26.103240j), (-1.369058-23.911444j), (15.971395+6.417830j), (8.910286+0.415127j), (27.169394-0.641348j), (10.368297+31.806827j), (-81.192422-10.716853j), (-3.270591-40.217159j), (8.911707+26.103240j)
 (135.355469+0.000000j), (-87.295587-7.271314j), (-66.999076-3.394317j), (70.119977-5.910358j), (-17.091708-23.490043j), (20.253212+14.790982j), (-66.999076+3.394317j), (14.548801-3.219761j), (-12.606788+1.625081j), (-0.742593-6.463899j), (-28.155700+18.131875j), (70.119977+5.910358j), (32.448184-17.852421j), (-87.295587+7.271314j), (-9.463798-3.026456j), (14.548801+3.219761j)
 (140.933594+0.000000j), (-80.573163-0.913963j), (-75.943913+8.023986j), (11.412473-1.821359j), (12.265686+30.639148j), (-2.868926-12.173767j), (-75.943913-8.023986j), (48.043502-2.760572j), (-19.866995+6.612139j), (18.820939-25.432247j), (40.101272+25.256123j), (11.412473+1.821359j), (-3.235043-26.562452j), (-80.573163+0.913963j), (16.560386+9.911482j), (48.043502+2.760572j)
 (144.781250+0.000000j), (-87.021847-12.622157j), (-32.995910-7.752240j), (32.436224+10.158549j), (-54.259368-16.931472j), (-0.499870+20.066595j), (-32.995910+7.752240j), (10.841873+12.753044j), (-16.088662-4.642397j), (49.516077+19.002073j), (13.965330-4.382751j), (32.436224-10.158549j), (5.081416-9.692768j), (-87.021847+12.622157j), (-13.711958+3.315747j), (10.841873-12.753044j)
 (132.953125+0.000000j), (-101.017193-6.016317j), (-57.626467-18.742929j), (56.353747-2.912780j), (-16.751478-32.244510j), (8.312596+23.694934j), (-57.626467+18.742929j), (29.590518-16.572147j), (-14.067536+34.617848j), (18.414014+4.193986j), (-32.468549-26.633042j), (56.353747+2.912780j), (35.222222-10.307529j), (-101.017193+6.016317j), (3.877750+1.880239j), (29.590518+16.572147j)
 (135.414062+0.000000j), (-75.470147+4.401043j), (-35.183965-12.817628j), (3.660305+18.276275j), (-35.123786-42.977709j), (8.672915+36.748747j), (-35.183965+12.817628j), (25.266573-10.780488j), (4.724456-23.003153j), (28.197892+42.411346j), (14.645878+20.217586j), (3.660305-18.276275j), (-18.221493-7.941160j), (-75.470147-4.401043j), (16.264724-2.372716j), (25.266573+10.780488j)
 (56.808594+0.000000j), (-44.443338+1.406013j), (-25.379578-3.825274j), (33.353169-4.497309j), (0.319175-12.847563j), (-8.378200-0.669613j), (-25.379578+3.825274j), (11.466939-0.957405j), (-4.458971-4.851540j), (1.352874+17.494025j), (-24.637973-11.853876j), (33.353169+4.497309j), (21.308409-4.434979j), (-44.443338-1.406013j), (-6.916622+5.036450j), (11.466939+0.957405j)
 (144.093750+0.000000j), (-71.890684+11.721152j), (-41.947499+8.637411j), (73.430694-9.007768j), (-61.374222+24.667431j), (31.225105-9.443804j), (-41.947499-8.637411j), (-19.693128+10.174001j), (-2.990132+15.125678j), (20.910387-25.042662j), (-0.862730-12.194157j), (73.430694+9.007768j), (-12.506856+8.916523j), (-71.890684-11.721152j), (-2.532725+10.642316j), (-19.693128-10.174001j)
 (135.460938+0.000000j), (-89.169925-12.748294j), (-48.287783-2.484257j), (74.154793+0.206277j), (-30.032680-17.421710j), (9.975136+2.288396j), (-48.287783+2.484257j), (-1.066189+8.072924j), (1.830182+13.028698j), (15.445339+7.313609j), (-35.947566-2.049725j), (74.154793-0.206277j), (12.185596-21.591626j), (-89.169925+12.748294j), (9.625165+22.209109j), (-1.066189-8.072924j)
 (92.738281+0.000000j), (-62.641251+10.578619j), (-50.471259-1.608022j), (26.439286+4.582572j), (8.888074-9.992167j), (5.100274-5.129898j), (-50.471259+1.608022j), (35.922855+5.518414j), (-1.775163+2.294345j), (-7.882338+13.905141j), (12.627557-5.694141j), (26.439286-4.582572j), (5.590424+24.882099j), (-62.641251-10.578619j), (-8.460355-0.371571j), (35.922855-5.518414j)
 (157.687500+0.000000j), (-93.150934-4.075570j), (-51.557150-11.335983j), (59.056199-21.633717j), (-42.415668-24.820935j), (15.902105-4.849136j), (-51.557150+11.335983j), (5.993885+12.189704j), (-10.284760+39.777219j), (14.950176+7.571505j), (-4.325406-22.458897j), (59.056199+21.633717j), (14.049894-27.344921j), (-93.150934+4.075570j), (2.355679+23.591846j), (5.993885-12.189704j)
 (109.093750+0.000000j), (-43.146222-1.404482j), (-55.137747+1.497187j), (8.906454-9.544246j), (-12.722808+26.764839j), (2.137586+30.968538j), (-55.137747-1.497187j), (51.091181-20.734577j), (31.262569-19.994058j), (-14.206233-22.827116j), (-2.260460+15.290412j), (8.906454+9.544246j), (-20.949696+3.824969j), (-43.146222+1.404482j), (2.213323-18.288309j), (51.091181+20.734577j)
 (44.109375+0.000000j), (-33.305417+4.203036j), (-13.995412-0.963927j), (34.119961-6.142544j), (-12.901903-7.843373j), (9.482552+4.865862j), (-13.995412+0.963927j), (-6.961052-6.787313j), (12.933652+6.344934j), (4.118652+3.057800j), (-38.131538-10.351308j), (34.119961+6.142544j), (9.519790+7.510060j), (-33.305417-4.203036j), (15.090102-6.950898j), (-6.961052+6.787313j)
 (108.722656+0.000000j), (-77.236872+0.691431j), (-45.863204-5.785650j), (19.655291-2.413390j), (-26.083574+2.033668j), (22.598801-5.074338j), (-45.863204+5.785650j), (35.332599+0.485153j), (-18.359190+24.538861j), (26.808238-10.471095j), (20.600766-21.943014j), (19.655291+2.413390j), (13.897440+8.787902j), (-77.236872-0.691431j), (-6.023405+6.841837j), (35.332599-0.485153j)
 (97.015625+0.000000j), (-60.564990-4.431962j), (-52.933206+0.789124j), (50.116935-8.013806j), (-0.311556+1.291104j), (2.471994-12.094281j), (-52.933206-0.789124j), (17.192864+16.305791j), (-11.357399+28.346079j), (0.074503-0.110532j), (-3.893803-25.447185j), (50.116935+8.013806j), (-1.547717-15.442363j), (-60.564990+4.431962j), (8.827976+23.549547j), (17.192864-16.305791j)
 (93.695312+0.000000j), (-70.450588+6.966156j), (-31.132231-4.586431j), (27.326176-9.430166j), (-14.775389-11.800301j), (-4.018504+10.318862j), (-31.132231+4.586431j), (28.195672-26.607608j), (-21.230298-7.107036j), (30.104214+7.144243j), (-12.464799-6.173546j), (27.326176+9.430166j), (25.997265+16.628224j), (-70.450588-6.966156j), (-16.941065-29.539894j), (28.195672+26.607608j)
 (130.210938+0.000000j), (-44.759567+0.787608j), (-49.330673-4.258844j), (46.451914+10.870014j), (-30.966903-14.752701j), (12.214086+8.804021j), (-49.330673+4.258844j), (-22.436935-21.597295j), (-38.311728-24.616893j), (28.319716+18.342137j), (22.439475+13.379667j), (46.451914-10.870014j), (-26.009037+12.234058j), (-44.759567-0.787608j), (9.582242-12.930616j), (-22.436935+21.597295j)
 (92.304688+0.000000j), (-62.771685+0.506248j), (-41.721829-12.308621j), (38.229070-6.005005j), (1.556386-31.821772j), (-9.709023+7.463188j), (-41.721829+12.308621j), (17.920134-7.873903j), (-23.510624+9.987729j), (11.361589+24.664877j), (-10.791150-26.369720j), (38.229070+6.005005j), (10.709284-0.154877j), (-62.771685-0.506248j), (2.675975+3.156759j), (17.920134+7.873903j)
 (77.527344+0.000000j), (-56.653917-2.283201j), (-44.556997-0.711918j), (26.984142+1.291487j), (8.183385-3.199186j), (-10.165454-12.652036j), (-44.556997+0.711918j), (36.687086+15.573760j), (1.201672-0.829571j), (-1.847061+8.850861j), (-0.443858-18.226486j), (26.984142-1.291487j), (13.700157+8.153072j), (-56.653917+2.283201j), (-11.909653+24.964829j), (36.687086-15.573760j)
 (65.871094+0.000000j), (-48.754002+4.689833j), (-38.119090-4.767986j), (20.858959-3.077269j), (3.440773+0.764180j), (-9.250589-5.665834j), (-38.119090+4.767986j), (35.628520+0.330464j), (-2.858586+7.105219j), (2.465698-3.244255j), (2.146858-18.714947j), (20.858959+3.077269j), (10.475691+12.656959j), (-48.754002-4.689833j), (-14.409394+10.317473j), (35.628520-0.330464j)
 (93.429688+0.000000j), (-75.916509+4.355441j), (-19.509766-3.001143j), (22.603757-9.371019j), (-31.449110+1.489286j), (9.518006-1.541327j), (-19.509766+3.001143j), (14.666098-10.204402j), (-17.493462+5.280425j), (34.151850-4.807883j), (-18.448026-18.513099j), (22.603757+9.371019j), (37.256548+10.215198j), (-75.916509-4.355441j), (-12.198236-8.289143j), (14.666098+10.204402j)
 (101.527344+0.000000j), (-78.092553-5.597696j), (-38.776393-10.900115j), (34.959927+7.520986j), (-19.325078-18.206611j), (20.351161+0.667980j), (-38.776393+10.900115j), (19.582994+9.536837j), (7.170092+4.177776j), (9.186588+17.409928j), (-14.403944-14.294771j), (34.959927-7.520986j), (31.525318-6.378756j), (-78.092553+5.597696j), (5.016309+28.406216j), (19.582994-9.536837j)
 (146.804688+0.000000j), (-36.591195-2.260950j), (-49.093015+0.937920j), (4.295872-8.005305j), (-52.145754+26.894452j), (44.614348-24.477839j), (-49.093015-0.937920j), (-24.362775+21.771625j), (-19.061693+5.967734j), (43.050418-15.817445j), (53.192791-2.169663j), (4.295872+8.005305j), (-53.285221-22.572946j), (-36.591195+2.260950j), (30.756739+18.556987j), (-24.362775-21.771625j)
 (80.164062+0.000000j), (-45.866680+2.624924j), (-47.858025-1.099679j), (27.439450-2.365226j), (9.900234+0.379730j), (-7.359628-22.152969j), (-47.858025+1.099679j), (26.764058+19.747974j), (11.351832+5.220376j), (-6.448468+7.630277j), (3.577439-32.297980j), (27.439450+2.365226j), (-7.508884+23.484961j), (-45.866680-2.624924j), (4.735249+18.457548j), (26.764058-19.747974j)
 (76.730469+0.000000j), (-61.023174-1.763092j), (-15.365470-3.111071j), (24.148823-4.994001j), (-23.248366-6.677104j), (12.929480+1.883163j), (-15.365470+3.111071j), (7.290092-13.618986j), (0.204806-1.657544j), (16.258346+2.461109j), (-18.319093-7.892693j), (24.148823+4.994001j), (29.885623+4.184690j), (-61.023174+1.763092j), (-9.674118-12.927709j), (7.290092+13.618986j)
 (93.464844+0.000000j), (-67.644835-8.454672j), (-54.429240+2.176853j), (66.031750+2.323015j), (7.153872+1.778188j), (-1.748843-6.359762j), (-54.429240-2.176853j), (20.120350+11.538140j), (15.133947-0.221316j), (-16.615419+8.016135j), (-38.184755-2.869306j), (66.031750-2.323015j), (18.656239-14.325817j), (-67.644835+8.454672j), (0.664358+10.617516j), (20.120350-11.538140j)
 (102.136719+0.000000j), (-74.314002+5.343166j), (-36.058616+6.509273j), (54.777097-0.289883j), (-22.215091+14.626286j), (4.569527-17.705024j), (-36.058616-6.509273j), (8.416576+23.788034j), (-5.174741-27.289821j), (17.410613+11.143302j), (-33.016440+0.236353j), (54.777097+0.289883j), (25.558843-3.808442j), (-74.314002-5.343166j), (-4.025862+21.373578j), (8.416576-23.788034j)
 (69.492188+0.000000j), (-53.812959+2.308885j), (-24.513531-10.665228j), (-3.912421+7.597171j), (-17.485673-25.701762j), (2.856811+27.656113j), (-24.513531+10.665228j), (44.906843-2.700866j), (-4.442152+1.246481j), (17.893812+10.117549j), (16.543167-2.599648j), (-3.912421-7.597171j), (21.648813+14.734830j), (-53.812959-2.308885j), (-41.343733+1.084900j), (44.906843+2.700866j)
 (99.839844+0.000000j), (-66.089225+5.593032j), (-54.773788+1.436307j), (22.433389-4.929974j), (5.291091-4.280584j), (1.626690-8.002218j), (-54.773788-1.436307j), (45.452596+11.127158j), (-3.613971+15.571874j), (-4.873339+1.804490j), (29.025509-16.114020j), (22.433389+4.929974j), (-0.669026+9.714962j), (-66.089225-5.593032j), (-16.942393+17.553368j), (45.452596-11.127158j)
 (105.023438+0.000000j), (-79.883625-7.967825j), (-28.270777+13.783254j), (34.085227-17.713217j), (-45.226637+27.799480j), (33.146255-2.625394j), (-28.270777-13.783254j), (11.359337-7.049371j), (1.753707+38.579749j), (28.955761-44.667655j), (-22.926911-9.879499j), (34.085227+17.713217j), (27.145817-2.935518j), (-79.883625+7.967825j), (3.558778-26.276713j), (11.359337+7.049371j)
 (58.535156+0.000000j), (-47.219802-2.527243j), (-29.343144-5.251297j), (37.610312-2.577413j), (-4.420377-12.449784j), (3.090148+10.177142j), (-29.343144+5.251297j), (14.264983-4.777433j), (12.365580+14.861002j), (-4.119712+3.763558j), (-29.710568-8.578868j), (37.610312+2.577413j), (22.926913-10.810955j), (-47.219802+2.527243j), (-6.305725+2.182547j), (14.264983+4.777433j)
 (147.066406+0.000000j), (-98.493294-2.663199j), (-43.294822+2.087649j), (49.605371+7.801166j), (-59.036531+4.455552j), (7.386433+3.126252j), (-43.294822-2.087649j), (22.813034+18.448064j), (-20.186846-14.743731j), (56.721791+8.203027j), (-7.577631-0.216124j), (49.605371-7.801166j), (21.512874-4.210832j), (-98.493294+2.663199j), (-27.527121+10.773159j), (22.813034-18.448064j)
 (90.980469+0.000000j), (-64.426967-5.524383j), (-35.334241-11.661260j), (41.780120-5.565870j), (-14.711651-36.643188j), (3.221672+21.385887j), (-35.334241+11.661260j), (10.657643-15.051753j), (-19.321483+25.357277j), (24.048304+15.222493j), (-29.103305-21.848237j), (41.780120+5.565870j), (13.436312-2.686959j), (-64.426967+5.524383j), (10.302830-8.760327j), (10.657643+15.051753j)
 (101.121094+0.000000j), (-78.858362+2.702779j), (-42.097122+2.363106j), (53.625762-7.343501j), (-14.817738-7.960876j), (14.099883-0.882517j), (-42.097122-2.363106j), (12.183806+3.005680j), (-4.827411+6.169637j), (8.673685+3.201726j), (-34.419587-8.571415j), (53.625762+7.343501j), (30.676729+1.062986j), (-78.858362-2.702779j), (8.949670+11.921274j), (12.183806-3.005680j)
 (130.851562+0.000000j), (-71.525798+17.811949j), (-32.435636+0.805329j), (50.334385-15.650238j), (-64.547178-15.144003j), (30.083293+24.013924j), (-32.435636-0.805329j), (-10.599194-28.812010j), (6.487202-6.126663j), (26.987026+1.010368j), (-2.615009-20.911982j), (50.334385+15.650238j), (-4.234679+28.214952j), (-71.525798-17.811949j), (3.900311-21.778279j), (-10.599194+28.812010j)
 (103.207031+0.000000j), (-68.649139+9.247165j), (-57.649288-5.429109j), (46.356958-3.444835j), (6.561547-10.539205j), (-2.972760-13.780558j), (-57.649288+5.429109j), (30.886110+14.761847j), (3.730475-0.917754j), (-10.040157+22.188783j), (3.268246-30.870143j), (46.356958+3.444835j), (6.647942+10.437573j), (-68.649139-9.247165j), (-7.031497+30.910326j), (30.886110-14.761847j)
 (138.203125+0.000000j), (-56.120417-3.761792j), (-47.583487-10.401583j), (-6.120194+16.501040j), (-44.467699-16.343379j), (43.159790+6.602686j), (-47.583487+10.401583j), (1.104967-9.239331j), (-22.037750-10.024205j), (46.540660+18.603615j), (40.033347+34.091179j), (-6.120194-16.501040j), (-25.502565-32.096061j), (-56.120417+3.761792j), (32.173855+13.079154j), (1.104967+9.239331j)
 (197.871094+0.000000j), (-97.530220-8.587263j), (-106.050870+14.003181j), (12.420224-7.779857j), (15.751066+44.117620j), (10.760262-10.150617j), (-106.050870-14.003181j), (55.295832-8.837071j), (3.665275+13.039606j), (9.944235-34.123910j), (43.983839+18.330297j), (12.420224+7.779857j), (-12.244667-44.315345j), (-97.530220+8.587263j), (18.846454+9.108569j), (55.295832+8.837071j)
 (152.507812+0.000000j), (-91.502345+0.413151j), (-57.444843-0.037710j), (53.999052+7.056246j), (-35.776792+2.195593j), (30.635407+2.821938j), (-57.444843+0.037710j), (-3.717713-8.826261j), (-48.123980-7.593056j), (34.904992+1.091627j), (13.476547+8.812320j), (53.999052-7.056246j), (-11.603644+13.519088j), (-91.502345-0.413151j), (40.586553-19.235919j), (-3.717713+8.826261j)
 (80.937500+0.000000j), (-19.075554+5.262307j), (-47.926225-10.552313j), (-7.761845+5.634700j), (9.956760-20.061436j), (-9.700358-2.215435j), (-47.926225+10.552313j), (35.703588+0.633854j), (11.792585+7.316760j), (-1.496003+19.120714j), (15.802673-20.940228j), (-7.761845-5.634700j), (-43.270023+30.695100j), (-19.075554-5.262307j), (18.331380-15.114578j), (35.703588-0.633854j)
 (94.679688+0.000000j), (-66.383695-6.422589j), (-14.128494+6.008393j), (1.388203-0.581189j), (-46.791072+7.064890j), (34.713071-2.888383j), (-14.128494-6.008393j), (26.472377-0.302627j), (21.021588-8.061476j), (12.170343+0.297430j), (-21.624978+9.921324j), (1.388203+0.581189j), (27.391651-11.527177j), (-66.383695+6.422589j), (-4.411775-5.340305j), (26.472377+0.302627j)
 (70.027344+0.000000j), (-56.649023+3.286402j), (-32.863769-4.500948j), (16.846763-6.612390j), (-5.196748-11.891278j), (-6.623733+17.239551j), (-32.863769+4.500948j), (32.377732-4.387444j), (-10.237656+4.546499j), (14.730213-1.181714j), (-6.842840-19.653165j), (16.846763+6.612390j), (32.659065+11.324101j), (-56.649023-3.286402j), (-12.237685-0.521172j), (32.377732+4.387444j)
 (85.222656+0.000000j), (-41.613017+5.200690j), (-41.473269-3.880679j), (24.627597-19.491856j), (-10.515468-27.444958j), (13.574582+11.787776j), (-41.473269+3.880679j), (0.617479+2.217828j), (-13.026643+32.735404j), (18.562115-4.456009j), (0.761038-31.044088j), (24.627597+19.491856j), (-6.684390+3.577055j), (-41.613017-5.200690j), (24.272998+6.746397j), (0.617479-2.217828j)
 (109.847656+0.000000j), (-44.975947-2.118300j), (-65.848592+1.068031j), (39.494303-3.068414j), (9.084425+2.838411j), (10.401548-21.007665j), (-65.848592-1.068031j), (23.485340+24.103701j), (-11.229146+49.009398j), (-17.271653-8.101662j), (20.947831-41.343315j), (39.494303+3.068414j), (-27.632743-3.588444j), (-44.975947+2.118300j), (13.324096+17.895655j), (23.485340-24.103701j)
 (110.132812+0.000000j), (-72.886355+0.198797j), (-27.841573-3.772579j), (39.807712+1.680285j), (-33.857432-20.835856j), (3.115003-12.302145j), (-27.841573+3.772579j), (3.487531+22.682199j), (-18.992451-23.761789j), (35.464303+46.739189j), (-7.932828-9.798499j), (39.807712-1.680285j), (16.632533-12.254669j), (-72.886355-0.198797j), (-5.975160+28.609338j), (3.487531-22.682199j)
 (46.554688+0.000000j), (-45.088410+1.670995j), (-16.590835-0.687827j), (18.569148+3.571069j), (-10.965480+1.674632j), (9.985350-5.557722j), (-16.590835+0.687827j), (14.204995+2.627981j), (-9.497084-7.384881j), (10.833322+2.883114j), (-19.769545+5.691151j), (18.569148-3.571069j), (40.928544+2.867791j), (-45.088410-1.670995j), (-11.773755+5.905534j), (14.204995-2.627981j)
 (151.476562+0.000000j), (-78.245710-16.866509j), (-60.821643+12.814406j), (14.964290+0.522242j), (-39.910501+52.764518j), (22.750705-14.318903j), (-60.821643-12.814406j), (67.155776-10.829490j), (32.163625+21.045225j), (-8.440205-42.666601j), (-13.289648-2.885713j), (14.964290-0.522242j), (-7.049938-18.997828j), (-78.245710+16.866509j), (-0.265989-21.571614j), (67.155776+10.829490j)
 (102.414062+0.000000j), (-73.474181-8.477117j), (-20.136725+9.869698j), (16.021425+0.873928j), (-35.296310+25.332101j), (42.915903-22.973274j), (-20.136725-9.869698j), (17.216714+0.513507j), (27.530857-23.226408j), (-0.539265+0.060362j), (-20.465594+17.797972j), (16.021425-0.873928j), (21.870281-10.814496j), (-73.474181+8.477117j), (2.453842-11.435447j), (17.216714-0.513507j)
 (92.949219+0.000000j), (-54.227054+2.395952j), (-44.515198+2.121294j), (25.697024-16.599428j), (-10.615590+10.112938j), (21.913666-8.592603j), (-44.515198-2.121294j), (16.236784-0.726314j), (2.329723+20.828242j), (-0.486024-17.114122j), (14.952983-28.932846j), (25.697024+16.599428j), (-6.561425+3.957925j), (-54.227054-2.395952j), (9.036825+0.586813j), (16.236784+0.726314j)
 (106.171875+0.000000j), (-64.524517+1.649549j), (-54.792646+0.543028j), (18.267356+2.906002j), (-1.769027-0.322480j), (14.919422-5.308965j), (-54.792646-0.543028j), (30.886718+8.524242j), (-25.001086+13.626881j), (11.817547-1.605730j), (33.079497-10.844960j), (18.267356-2.906002j), (-3.926014+20.620353j), (-64.524517-1.649549j), (7.156418+0.123531j), (30.886718-8.524242j)
